,Phone Name,Phone Price,Phone Image
0,"Tecno Spark 10C , 6.6"" FHD,128GB ROM+4GB RAM ,5000mAh,Meta Skin Blue","KSh 18,399",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/96/6676921/1.jpg?1549
1,"Infinix Hot 30i, 6.6"", 8GB RAM, 128GB, 5000mAh, (DUAL SIM), 4G -  Mirror Black","KSh 17,399",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/14/5704321/1.jpg?2260
2,"Tecno Pop  7 6.6"" HD+, 2GB RAM+64GB, 8MP, 4G (Dual Sim) 5000MAh - Endless Black","KSh 13,499",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/18/1071321/1.jpg?7131
3,"Nokia C12,6.3"",64GB + 2GB,8MP,(Dual SIM), 3000mAh,Charcoal","KSh 12,499",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/86/9635051/1.jpg?7443
4,"Infinix Smart 7 HD, 6.6"", 2GB RAM, 64GB, 5000mAh, 4G(DUAL SIM) - Silk Blue","KSh 12,599",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/70/4421021/1.jpg?2098
5,"Tecno Spark 10C , 6.6"" FHD,128GB ROM+8GB RAM ,5000mAh,Meta Black","KSh 18,699",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/67/6676921/1.jpg?1549
6,"Nokia C31, 6.75"",13MP,64GB + 4GB RAM (Dual SIM), 5050MAh, (Dual Sim),Charcoal Grey","KSh 15,399",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/66/9635051/1.jpg?7443
7,"Tecno Spark 10C , 6.6"" FHD, 128GB +4GB RAM ,5000mAh, DUAL SIM, 4G - Meta Black","KSh 18,399",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/71/3122131/1.jpg?1864
8,"Tecno Spark 10 Pro, 6.8"" , 256GB + 8GB, 50MP, Dual SIM, 5000mAh - Black + Magnifier, Earpods & Smart Watch","KSh 26,999",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/07/9174321/1.jpg?1632
9,"Freeyond F9,2GB+64GB,6.52"", 13.0MP,4G Smartphone 5000mAh Dual SIM Android Phone,Blue","KSh 9,799",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/98/786019/1.jpg?4816
10,"Freeyond M5,8GB+128GB,6.52"", 50MP,4G Smartphone 5000mAh Dual SIM Android Phone,Black","KSh 15,390",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/62/2035901/1.jpg?7920
11,"Tecno Spark 10 Pro, 6.8"", 256GB+8GB,(Dual SIM),5000mAh,Pearl White","KSh 25,699",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/39/3271321/1.jpg?1549
12,"Samsung Galaxy A04s, 6.5"", 64 GB + 4 GB RAM (Dual SIM), 50MP,  5000mAh, Black","KSh 21,699",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/92/6064321/1.jpg?1258
13,"Freeyond F9,3GB+128GB,6.52"" 4G Smartphone,13.0MP 5000mAh, Dual SIM Android Phones","KSh 11,790",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/21/6122701/1.jpg?7504
14,"Freeyond F9,2GB+64GB,6.52"" 4G Smartphone,13.0MP 5000mAh, Dual SIM Android Phones,Black","KSh 9,750",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/59/786019/1.jpg?4815
15,Ace Elec ACEELEC F9 Wireless Fingerprint Touch Bluetooth Headset,KSh 590,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/32/7770331/1.jpg?7073
16,Generic Mirror Face10000mAh RR10S Power Fast Charging Bank With Flashlight Polymer Battery More Safty,KSh 709,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/40/365856/1.jpg?7966
17,Oraimo Senior BT5.0 Single Wireless Bluetooth Headsets,KSh 650,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/32/469084/1.jpg?4871
18,Qwen Wireless Headset Bluetooth Earbuds With Power Bank,KSh 649,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/38/083038/1.jpg?0341
19,Generic Portable Phone Holder Adjustable Phone Stand & Ipad Stand Holder(Black),KSh 70,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/94/454803/1.jpg?4946
20,Oraimo Car Charger Oraimo OCC-21DML Black,KSh 620,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/22/084384/1.jpg?7876
21,Generic Bluetooth Wireless Earphones Sound Headsets Noise Cancelling HD Binaural Call Earbuds MiNi,KSh 575,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/68/639354/1.jpg?0060
